Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed,$ Chg Open to Close,% Chg Open to Close,SP Week Change,SP Close to Open Chg Pct,Lead Mgr,Total Underwriters,Week Day,Month,Gap Open Pct,Open to Close Pct
2002-03-12,WCI Communities ,WCI,UBS Warburg,19.0,22.6,22.67,19.32,3.6,3.67,3,,0.06999999999999984,0.30973451327433554,5.803397350628111,0.0,UBS Warburg,1,Tues,Mar,15.929203539823009,0.30973451327433554
2002-03-12,Anteon International ,ANT,Goldman Sachs,18.0,21.0,20.05,11.39,3.0,2.05,3,,-0.9500000000000002,-4.5238095238095255,5.803397350628111,0.0,Goldman Sachs,1,Tues,Mar,14.285714285714285,-4.523809523809525
2002-03-14,Asbury Automotive Group ,ABG,Goldman Sachs/Merrill Lynch,16.5,16.9,16.8,1.82,0.4,0.3,3,Missed,-0.10000000000000003,-0.5917159763313612,5.110292265984661,0.0,Goldman Sachs,2,Thurs,Mar,2.366863905325444,-0.5917159763313612
2002-03-21,Alcon ,ACL,CS First Boston/Merrill Lynch,33.0,33.9,34.0,3.03,0.9,1.0,3,,0.09999999999999998,0.2949852507374631,3.7805512648025776,0.0,CSFB,2,Thurs,Mar,2.6548672566371683,0.29498525073746307
2002-03-22,Travelers Property Casualty,TAP.A,Salomon Smith Barney,18.5,19.55,19.56,5.73,1.05,1.06,3,,0.010000000000000007,0.051150895140664995,4.234093848257362,0.0,Salomon Smith Barney,1,Fri,Mar,5.3708439897698215,0.051150895140665
2002-03-27,MedSource Technologies ,MEDT,Morgan Stanley,12.0,12.51,13.0,8.33,0.51,1.0,1,,0.49,3.916866506794564,-0.6674599001763248,0.0,Morgan Stanley,1,Wed,Mar,4.07673860911271,3.9168665067945643
2002-04-09,Empire Financial Holding,EFH,Keefe Bruyette,6.0,6.0,5.35,-10.83,0.0,-0.65,1,,-0.65,-10.833333333333336,-3.5046643520969796,0.0,"Keefe, Bruyette & Woods",1,Tues,Apr,0.0,-10.833333333333334
2002-04-12,Ribapharm,RNA,UBS Warburg,10.0,10.0,10.8,8.0,0.0,0.8,1,,0.8,8.0,-4.18110309532184,0.0,UBS Warburg,1,Fri,Apr,0.0,8.0
2002-04-12,JetBlue Airways ,JBLU,Morgan Stanley/Merrill Lynch,27.0,37.52,45.0,66.67,10.52,18.0,3,,7.48,19.936034115138593,-4.18110309532184,0.0,Morgan Stanley,2,Fri,Apr,28.038379530916842,19.936034115138593
2002-04-18,ExpressJet Holdings ,XJT,Salomon Smith Barney/Morgan Stanley,16.0,17.1,16.0,0.0,1.1,0.0,3,,-1.1,-6.432748538011697,-1.0909225473295519,0.0,Salomon Smith Barney,2,Thurs,Apr,6.432748538011696,-6.432748538011696
2002-04-18,Medical Staffing Network Holdings ,MRN,Lehman Brothers,19.0,23.0,21.5,13.16,4.0,2.5,3,,-1.5,-6.521739130434782,-1.0909225473295519,0.0,Lehman Brothers,1,Thurs,Apr,17.391304347826086,-6.521739130434782
2002-04-24,Heritage Property Invest. Trust ,HTG,Merrill Lynch,25.0,25.1,25.05,0.2,0.1,0.05,2,Missed,-0.05,-0.199203187250996,-3.149305806420825,0.0,Merrill Lynch,1,Wed,Apr,0.398406374501992,-0.199203187250996
2002-04-25,DOV Pharmaceutical ,DOVP,CIBC World Markets/Lehman Brothers,13.0,11.25,8.7,-33.08,-1.75,-4.3,1,,-2.55,-22.666666666666664,-2.8665370812183384,0.0,CIBC,2,Thurs,Apr,-15.555555555555555,-22.666666666666664
